field_number,field_name,field_name_formatted
1,Date,"'Date',"
2,Game_Number,"'Game_Number',"
3,Day_of_Week,"'Day_of_Week',"
4,Visiting_Team_Name,"'Visiting_Team_Name',"
5,Visiting_Team_League,"'Visiting_Team_League',"
6,Visiting_Team_Game_Number,"'Visiting_Team_Game_Number',"
7,Home_Team_Name,"'Home_Team_Name',"
8,Home_Team_League,"'Home_Team_League',"
9,Home_Team_Game_Number,"'Home_Team_Game_Number',"
10,Visiting_Team_Score,"'Visiting_Team_Score',"
11,Home_Team_Score,"'Home_Team_Score',"
12,Length_of_Game_in_Outs,"'Length_of_Game_in_Outs',"
13,Day_or_Night,"'Day_or_Night',"
14,Completion_Information,"'Completion_Information',"
15,Forfeit_Information,"'Forfeit_Information',"
16,Protest_Information,"'Protest_Information',"
17,Park_ID,"'Park_ID',"
18,Attendance,"'Attendance',"
19,Time_of_Game_in_Minutes,"'Time_of_Game_in_Minutes',"
20,Visiting_Team_Line_Score,"'Visiting_Team_Line_Score',"
21,Home_Team_Line_Score,"'Home_Team_Line_Score',"
22,Visiting_Team_At_Bats,"'Visiting_Team_At_Bats',"
23,Visiting_Team_Hits,"'Visiting_Team_Hits',"
24,Visiting_Team_Doubles,"'Visiting_Team_Doubles',"
25,Visiting_Team_Triples,"'Visiting_Team_Triples',"
26,Visiting_Team_Homeruns,"'Visiting_Team_Homeruns',"
27,Visiting_Team_RBI,"'Visiting_Team_RBI',"
28,Visiting_Team_Sacrifice_Hits,"'Visiting_Team_Sacrifice_Hits',"
29,Visiting_Team_Sacrifice_Flies,"'Visiting_Team_Sacrifice_Flies',"
30,Visiting_Team_Hit_By_Pitch,"'Visiting_Team_Hit_By_Pitch',"
31,Visiting_Team_Walks,"'Visiting_Team_Walks',"
32,Visiting_Team_Intentional_Walks,"'Visiting_Team_Intentional_Walks',"
33,Visiting_Team_Strikeouts,"'Visiting_Team_Strikeouts',"
34,Visiting_Team_Stolen_Bases,"'Visiting_Team_Stolen_Bases',"
35,Visiting_Team_Caught_Stealing,"'Visiting_Team_Caught_Stealing',"
